PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"26272315","Locomotor muscle fatigue is not critically regulated after prior upper body exercise","Johnson MA, Sharpe GR, Williams NC, Hannah R.","J Appl Physiol (1985). 2015 Oct 1;119(7):840-50. doi: 10.1152/japplphysiol.00072.2015. Epub 2015 Aug 13.","Johnson MA","J Appl Physiol (1985)","2015","2015/08/15","","","10.1152/japplphysiol.00072.2015"
"30844334","Menstrual cycle-associated modulations in neuromuscular function and fatigability of the knee extensors in eumenorrheic women","Ansdell P, Brownstein CG, Škarabot J, Hicks KM, Simoes DCM, Thomas K, Howatson G, Hunter SK, Goodall S.","J Appl Physiol (1985). 2019 Jun 1;126(6):1701-1712. doi: 10.1152/japplphysiol.01041.2018. Epub 2019 Mar 7.","Ansdell P","J Appl Physiol (1985)","2019","2019/03/08","","","10.1152/japplphysiol.01041.2018"
"18370947","Hip orthosis powered by pneumatic artificial muscle: voluntary activation in absence of myoelectrical signal","do Nascimento BG, Vimieiro CB, Nagem DA, Pinotti M.","Artif Organs. 2008 Apr;32(4):317-22. doi: 10.1111/j.1525-1594.2008.00549.x.","do Nascimento BG","Artif Organs","2008","2008/03/29","","","10.1111/j.1525-1594.2008.00549.x"
"27976404","Voluntary activation and cerebral blood flow: better measurement leads to less argument","Gandevia S.","J Physiol. 2016 Dec 15;594(24):7483-7484. doi: 10.1113/JP273015.","Gandevia S","J Physiol","2016","2016/12/16","PMC5157071","","10.1113/JP273015"
"19640732","Neuromuscular fatigue following low-intensity dynamic exercise with externally applied vascular restriction","Karabulut M, Cramer JT, Abe T, Sato Y, Bemben MG.","J Electromyogr Kinesiol. 2010 Jun;20(3):440-7. doi: 10.1016/j.jelekin.2009.06.005. Epub 2009 Jul 28.","Karabulut M","J Electromyogr Kinesiol","2010","2009/07/31","","","10.1016/j.jelekin.2009.06.005"
"31827352","Effect of the Anode Placement on the Antagonist Muscles Recruitment: Implication for the Interpolated Twitch Technique Outcome","Piponnier E, Thorkani A, Zghal F, Cottin F, Martin V.","J Sports Sci Med. 2019 Nov 19;18(4):674-679. eCollection 2019 Dec.","Piponnier E","J Sports Sci Med","2019","2019/12/13","PMC6873139","",""
"12015339","Plantar flexor activation capacity and H reflex in older adults: adaptations to strength training","Scaglioni G, Ferri A, Minetti AE, Martin A, Van Hoecke J, Capodaglio P, Sartorio A, Narici MV.","J Appl Physiol (1985). 2002 Jun;92(6):2292-302. doi: 10.1152/japplphysiol.00367.2001.","Scaglioni G","J Appl Physiol (1985)","2002","2002/05/17","","","10.1152/japplphysiol.00367.2001"
"12677313","The effect of a contralateral contraction on maximal voluntary activation and central fatigue in elbow flexor muscles","Todd G, Petersen NT, Taylor JL, Gandevia SC.","Exp Brain Res. 2003 Jun;150(3):308-13. doi: 10.1007/s00221-003-1379-7. Epub 2003 Apr 3.","Todd G","Exp Brain Res","2003","2003/04/05","","","10.1007/s00221-003-1379-7"
"31704592","Psychoactive medications in chronic obstructive pulmonary disease patients: From prevalence to effects on motor command and strength","Cabibel V, Alexandre F, Oliver N, Varray A, Héraud N.","Respir Med. 2019 Nov;159:105805. doi: 10.1016/j.rmed.2019.105805. Epub 2019 Oct 25.","Cabibel V","Respir Med","2019","2019/11/10","","","10.1016/j.rmed.2019.105805"
"34202491","Neuromuscular Adaptations after an Altitude Training Camp in Elite Judo Athletes","Tomazin K, Almeida F, Stirn I, Padial P, Bonitch-Góngora J, Morales-Artacho AJ, Strojnik V, Feriche B.","Int J Environ Res Public Health. 2021 Jun 24;18(13):6777. doi: 10.3390/ijerph18136777.","Tomazin K","Int J Environ Res Public Health","2021","2021/07/02","PMC8296934","","10.3390/ijerph18136777"
"25716541","Voluntary activation of trunk extensors appears normal in young adults who have recovered from low back pain","Chiou SY, Jeevathol A, Odedra A, Strutton PH.","Eur J Pain. 2015 Nov;19(10):1506-15. doi: 10.1002/ejp.684. Epub 2015 Feb 25.","Chiou SY","Eur J Pain","2015","2015/02/27","","","10.1002/ejp.684"
"21319165","Short-term unilateral resistance training affects the agonist-antagonist but not the force-agonist activation relationship","Tillin NA, Pain MT, Folland JP.","Muscle Nerve. 2011 Mar;43(3):375-84. doi: 10.1002/mus.21885.","Tillin NA","Muscle Nerve","2011","2011/02/15","","","10.1002/mus.21885"
"21307618","The effect of intense interval cycle-training on unloading-induced dysfunction and atrophy in the human calf muscle","Hotta N, Ishida K, Sato K, Koike T, Katayama K, Akima H.","J Physiol Anthropol. 2011;30(1):29-35. doi: 10.2114/jpa2.30.29.","Hotta N","J Physiol Anthropol","2011","2011/02/11","","","10.2114/jpa2.30.29"
"15574801","Interhemispheric coupling of corticospinal excitability is suppressed during voluntary muscle activation","Pearce SL, Thompson PD, Nordstrom MA.","J Neurophysiol. 2005 Apr;93(4):2174-82. doi: 10.1152/jn.00449.2004. Epub 2004 Dec 1.","Pearce SL","J Neurophysiol","2005","2004/12/03","","","10.1152/jn.00449.2004"
"11944103","EMG activity and voluntary activation during knee-extensor concentric torque generation","Babault N, Pousson M, Michaut A, Ballay Y, Hoecke JV.","Eur J Appl Physiol. 2002 Apr;86(6):541-7. doi: 10.1007/s00421-002-0579-3. Epub 2002 Mar 7.","Babault N","Eur J Appl Physiol","2002","2002/04/11","","","10.1007/s00421-002-0579-3"
"21188412","Neuromuscular function following prolonged intense self-paced exercise in hot climatic conditions","Périard JD, Cramer MN, Chapman PG, Caillaud C, Thompson MW.","Eur J Appl Physiol. 2011 Aug;111(8):1561-9. doi: 10.1007/s00421-010-1781-3. Epub 2010 Dec 28.","Périard JD","Eur J Appl Physiol","2011","2010/12/29","","","10.1007/s00421-010-1781-3"
"18687979","Recovery from supraspinal fatigue is slowed in old adults after fatiguing maximal isometric contractions","Hunter SK, Todd G, Butler JE, Gandevia SC, Taylor JL.","J Appl Physiol (1985). 2008 Oct;105(4):1199-209. doi: 10.1152/japplphysiol.01246.2007. Epub 2008 Aug 7.","Hunter SK","J Appl Physiol (1985)","2008","2008/08/09","","","10.1152/japplphysiol.01246.2007"
"22952305","Does neuromuscular electrical stimulation enhance the effectiveness of an exercise programme in subjects with knee osteoarthritis? A randomized controlled trial","Elboim-Gabyzon M, Rozen N, Laufer Y.","Clin Rehabil. 2013 Mar;27(3):246-57. doi: 10.1177/0269215512456388. Epub 2012 Sep 5.","Elboim-Gabyzon M","Clin Rehabil","2013","2012/09/07","","","10.1177/0269215512456388"
"19401949","Manipulation of rest period length induces different causes of fatigue in vertical jumping","Pereira G, Morse C, Ugrinowitsch C, Rodacki A, Kokubun E, Fowler N.","Int J Sports Med. 2009 May;30(5):325-30. doi: 10.1055/s-0029-1202260. Epub 2009 Apr 28.","Pereira G","Int J Sports Med","2009","2009/04/30","","","10.1055/s-0029-1202260"
"27834612","The Effectiveness of Neuromuscular Electrical Stimulation in Improving Voluntary Activation of the Quadriceps: A Critically Appraised Topic","Bremner CB, Holcomb WR, Brown CD, Perreault ME.","J Sport Rehabil. 2017 Jul;26(4):316-323. doi: 10.1123/jsr.2015-0100. Epub 2016 Nov 11.","Bremner CB","J Sport Rehabil","2017","2016/11/12","","","10.1123/jsr.2015-0100"
"19670475","The interpolated twitch technique may be valid and reliable but limited","Behm DG.","J Appl Physiol (1985). 2009 Jul;107(1):362; discussion 367-8. doi: 10.1152/japplphysiol.00362.2009.","Behm DG","J Appl Physiol (1985)","2009","2009/08/12","","","10.1152/japplphysiol.00362.2009"
"15258127","Assessment of low-frequency fatigue with two methods of electrical stimulation","Martin V, Millet GY, Martin A, Deley G, Lattier G.","J Appl Physiol (1985). 2004 Nov;97(5):1923-9. doi: 10.1152/japplphysiol.00376.2004. Epub 2004 Jul 16.","Martin V","J Appl Physiol (1985)","2004","2004/07/20","","","10.1152/japplphysiol.00376.2004"
"19150854","Estimation of critical torque using intermittent isometric maximal voluntary contractions of the quadriceps in humans","Burnley M.","J Appl Physiol (1985). 2009 Mar;106(3):975-83. doi: 10.1152/japplphysiol.91474.2008. Epub 2009 Jan 15.","Burnley M","J Appl Physiol (1985)","2009","2009/01/20","","","10.1152/japplphysiol.91474.2008"
"19670480","Twitch interpolation a valid measure with misinterpreted meaning","Gandevia SC.","J Appl Physiol (1985). 2009 Jul;107(1):363-4; discussion 367-8. doi: 10.1152/japplphysiol.00362.2009.","Gandevia SC","J Appl Physiol (1985)","2009","2009/08/12","","","10.1152/japplphysiol.00362.2009"
"19670477","Twitch interpolation a valid measure with misinterpreted meaning","Jakobi JM.","J Appl Physiol (1985). 2009 Jul;107(1):362-3; discussion 367-8. doi: 10.1152/japplphysiol.00362.2009.","Jakobi JM","J Appl Physiol (1985)","2009","2009/08/12","","","10.1152/japplphysiol.00362.2009"
"19670478","Twitch interpolation a valid measure with misinterpreted meaning","Binder-Macleod SA, Perumal R, Chou LW, Kesar T, Snyder-Mackler L.","J Appl Physiol (1985). 2009 Jul;107(1):363; discussion 367-8. doi: 10.1152/japplphysiol.00362.2009.","Binder-Macleod SA","J Appl Physiol (1985)","2009","2009/08/12","","","10.1152/japplphysiol.00362.2009"
"29034798","Intramuscular Electrical Stimulation for Muscle Activation of the Tibialis Anterior After Surgical Repair: A Case Report","Hollis S, McClure P.","J Orthop Sports Phys Ther. 2017 Dec;47(12):965-969. doi: 10.2519/jospt.2017.7368. Epub 2017 Oct 15.","Hollis S","J Orthop Sports Phys Ther","2017","2017/10/17","","","10.2519/jospt.2017.7368"
"32221043","The Immediate Effects of Transcranial Direct Current Stimulation on Quadriceps Muscle Function in Individuals With a History of Anterior Cruciate Ligament Reconstruction: A Preliminary Investigation","Rush JL, Lepley LK, Davi S, Lepley AS.","J Sport Rehabil. 2020 Nov 1;29(8):1121-1130. doi: 10.1123/jsr.2019-0179. Epub 2020 Mar 28.","Rush JL","J Sport Rehabil","2020","2020/03/30","","","10.1123/jsr.2019-0179"
"26342187","Spinal and supraspinal mechanisms affecting torque development at different joint angles","Papaiordanidou M, Mustacchi V, Stevenot JD, Vanoncini M, Martin A.","Muscle Nerve. 2016 Apr;53(4):626-32. doi: 10.1002/mus.24895. Epub 2015 Dec 29.","Papaiordanidou M","Muscle Nerve","2016","2015/09/06","","","10.1002/mus.24895"
"20576845","Delayed recovery of velocity-dependent power loss following eccentric actions of the ankle dorsiflexors","Power GA, Dalton BH, Rice CL, Vandervoort AA.","J Appl Physiol (1985). 2010 Sep;109(3):669-76. doi: 10.1152/japplphysiol.01254.2009. Epub 2010 Jun 24.","Power GA","J Appl Physiol (1985)","2010","2010/06/26","PMC2944637","","10.1152/japplphysiol.01254.2009"
"27512816","The effects of passive stretching plus vibration on strength and activation of the plantar flexors","Miller JD, Herda TJ, Trevino MA, Mosier EM.","Appl Physiol Nutr Metab. 2016 Sep;41(9):917-23. doi: 10.1139/apnm-2016-0010. Epub 2016 Apr 18.","Miller JD","Appl Physiol Nutr Metab","2016","2016/08/12","","","10.1139/apnm-2016-0010"
"17476489","Immediate changes in feedforward postural adjustments following voluntary motor training","Tsao H, Hodges PW.","Exp Brain Res. 2007 Aug;181(4):537-46. doi: 10.1007/s00221-007-0950-z. Epub 2007 May 3.","Tsao H","Exp Brain Res","2007","2007/05/04","","","10.1007/s00221-007-0950-z"
"30171987","Antagonism of the D(2) dopamine receptor enhances tremor but reduces voluntary muscle activation in humans","Thorstensen JR, Tucker MG, Kavanagh JJ.","Neuropharmacology. 2018 Oct;141:343-352. doi: 10.1016/j.neuropharm.2018.08.029. Epub 2018 Aug 29.","Thorstensen JR","Neuropharmacology","2018","2018/09/02","","","10.1016/j.neuropharm.2018.08.029"
"11685404","Suppression of the motor cortex by magnetic stimulation of the cerebellum","Pinto AD, Chen R.","Exp Brain Res. 2001 Oct;140(4):505-10. doi: 10.1007/s002210100862.","Pinto AD","Exp Brain Res","2001","2001/10/31","","","10.1007/s002210100862"
"17626289","Mechanisms of fatigue differ after low- and high-force fatiguing contractions in men and women","Yoon T, Schlinder Delap B, Griffith EE, Hunter SK.","Muscle Nerve. 2007 Oct;36(4):515-24. doi: 10.1002/mus.20844.","Yoon T","Muscle Nerve","2007","2007/07/13","","","10.1002/mus.20844"
"20881206","Voluntary activation of the different compartments of the flexor digitorum profundus","van Duinen H, Gandevia SC, Taylor JL.","J Neurophysiol. 2010 Dec;104(6):3213-21. doi: 10.1152/jn.00470.2010. Epub 2010 Sep 29.","van Duinen H","J Neurophysiol","2010","2010/10/01","","","10.1152/jn.00470.2010"
"24890377","Influence of joint position on synergistic muscle activity after fatigue of a single muscle head","Stutzig N, Siebert T.","Muscle Nerve. 2015 Feb;51(2):259-67. doi: 10.1002/mus.24305.","Stutzig N","Muscle Nerve","2015","2014/06/04","","","10.1002/mus.24305"
"22556396","Distinct profiles of neuromuscular fatigue during muscle contractions below and above the critical torque in humans","Burnley M, Vanhatalo A, Jones AM.","J Appl Physiol (1985). 2012 Jul;113(2):215-23. doi: 10.1152/japplphysiol.00022.2012. Epub 2012 May 3.","Burnley M","J Appl Physiol (1985)","2012","2012/05/05","","","10.1152/japplphysiol.00022.2012"
"23344670","Neuromuscular fatigue induced by whole-body vibration exercise","Maffiuletti NA, Saugy J, Cardinale M, Micallef JP, Place N.","Eur J Appl Physiol. 2013 Jun;113(6):1625-34. doi: 10.1007/s00421-013-2590-2. Epub 2013 Jan 24.","Maffiuletti NA","Eur J Appl Physiol","2013","2013/01/25","","","10.1007/s00421-013-2590-2"
"20928903","Comparison of quadriceps inactivation between nerve and muscle stimulation","Place N, Casartelli N, Glatthorn JF, Maffiuletti NA.","Muscle Nerve. 2010 Dec;42(6):894-900. doi: 10.1002/mus.21776. Epub 2010 Oct 6.","Place N","Muscle Nerve","2010","2010/10/08","","","10.1002/mus.21776"
"28493062","Comment on: ""Are Prepubertal Children Metabolically Comparable to Well-Trained Adult Endurance Athletes?""","Dotan R, Falk B.","Sports Med. 2017 Sep;47(9):1903-1905. doi: 10.1007/s40279-017-0736-9.","Dotan R","Sports Med","2017","2017/05/12","","","10.1007/s40279-017-0736-9"
"22604883","Quadriceps neuromuscular function and self-reported functional ability in knee osteoarthritis","Berger MJ, McKenzie CA, Chess DG, Goela A, Doherty TJ.","J Appl Physiol (1985). 2012 Jul;113(2):255-62. doi: 10.1152/japplphysiol.00947.2011. Epub 2012 May 17.","Berger MJ","J Appl Physiol (1985)","2012","2012/05/19","","","10.1152/japplphysiol.00947.2011"
"26156191","Reduced Voluntary Activation During Brief and Sustained Contractions of a Hand Muscle in Secondary-Progressive Multiple Sclerosis Patients","Wolkorte R, Heersema DJ, Zijdewind I.","Neurorehabil Neural Repair. 2016 May;30(4):307-16. doi: 10.1177/1545968315593809. Epub 2015 Jul 8.","Wolkorte R","Neurorehabil Neural Repair","2016","2015/07/10","","","10.1177/1545968315593809"
"17218428","Use of motor cortex stimulation to measure simultaneously the changes in dynamic muscle properties and voluntary activation in human muscles","Todd G, Taylor JL, Butler JE, Martin PG, Gorman RB, Gandevia SC.","J Appl Physiol (1985). 2007 May;102(5):1756-66. doi: 10.1152/japplphysiol.00962.2006. Epub 2007 Jan 11.","Todd G","J Appl Physiol (1985)","2007","2007/01/16","","","10.1152/japplphysiol.00962.2006"
"27653925","Reliability of the functional measures of the corticospinal pathways to dorsiflexor muscles during maximal voluntary contractions","Souron R, Farabet A, Millet GY, Lapole T.","J Neurol Sci. 2016 Oct 15;369:368-374. doi: 10.1016/j.jns.2016.09.003. Epub 2016 Sep 4.","Souron R","J Neurol Sci","2016","2016/09/23","","","10.1016/j.jns.2016.09.003"
"23471948","Comparison of neuromuscular adjustments associated with sustained isometric contractions of four different muscle groups","Neyroud D, Rüttimann J, Mannion AF, Millet GY, Maffiuletti NA, Kayser B, Place N.","J Appl Physiol (1985). 2013 May 15;114(10):1426-34. doi: 10.1152/japplphysiol.01539.2012. Epub 2013 Mar 7.","Neyroud D","J Appl Physiol (1985)","2013","2013/03/09","","","10.1152/japplphysiol.01539.2012"
"25054810","Determining the muscle voluntary activation characteristics in children: a methodological challenge. Commentary on ""Child-adult differences in muscle activation--a review""","Martin V, Ratel S.","Pediatr Exerc Sci. 2014 Aug;26(3):365-8. doi: 10.1123/pes.2013-0204. Epub 2014 Jul 23.","Martin V","Pediatr Exerc Sci","2014","2014/07/24","","","10.1123/pes.2013-0204"
"26801059","Optimal Combinations of Isometric Normalization Tests for the Production of Maximum Voluntary Activation of the Shoulder Muscles","Dal Maso F, Marion P, Begon M.","Arch Phys Med Rehabil. 2016 Sep;97(9):1542-1551.e2. doi: 10.1016/j.apmr.2015.12.024. Epub 2016 Jan 20.","Dal Maso F","Arch Phys Med Rehabil","2016","2016/01/24","","","10.1016/j.apmr.2015.12.024"
"11797081","Stimulus strength related effect of transcranial magnetic stimulation on maximal voluntary contraction force of human quadriceps femoris muscle","Urbach D, Awiszus F.","Exp Brain Res. 2002 Jan;142(1):25-31. doi: 10.1007/s00221-001-0911-x. Epub 2001 Oct 31.","Urbach D","Exp Brain Res","2002","2002/01/18","","","10.1007/s00221-001-0911-x"
"28240711","Self-Paced Team-Sport Match Simulation Results in Reductions in Voluntary Activation and Modifications to Biological, Perceptual, and Performance Measures at Halftime and for up to 96 Hours Postmatch","Tofari PJ, Kemp JG, Cormack SJ.","J Strength Cond Res. 2018 Dec;32(12):3552-3563. doi: 10.1519/JSC.0000000000001875.","Tofari PJ","J Strength Cond Res","2018","2017/02/28","","","10.1519/JSC.0000000000001875"
"32234996","Knee Joint and Quadriceps Dysfunction in Individuals With Anterior Knee Pain, Anterior Cruciate Ligament Reconstruction, and Meniscus Surgery: A Cross-Sectional Study","Kim S, Kim D, Park J.","J Sport Rehabil. 2020 Apr 1;30(1):112-119. doi: 10.1123/jsr.2018-0482.","Kim S","J Sport Rehabil","2020","2020/04/03","","","10.1123/jsr.2018-0482"
"22542219","Residual force enhancement following eccentric induced muscle damage","Power GA, Rice CL, Vandervoort AA.","J Biomech. 2012 Jun 26;45(10):1835-41. doi: 10.1016/j.jbiomech.2012.04.006. Epub 2012 Apr 25.","Power GA","J Biomech","2012","2012/05/01","","","10.1016/j.jbiomech.2012.04.006"
"15937879","Effect of transcranial magnetic stimulation on voluntary activation in patients with quadriceps weakness","Urbach D, Berth A, Awiszus F.","Muscle Nerve. 2005 Aug;32(2):164-9. doi: 10.1002/mus.20353.","Urbach D","Muscle Nerve","2005","2005/06/07","","","10.1002/mus.20353"
"18581666","Locomotor training and muscle function after incomplete spinal cord injury: case series","Jayaraman A, Shah P, Gregory C, Bowden M, Stevens J, Bishop M, Walter G, Behrman A, Vandenborne K.","J Spinal Cord Med. 2008;31(2):185-93. doi: 10.1080/10790268.2008.11760710.","Jayaraman A","J Spinal Cord Med","2008","2008/06/28","PMC2578797","","10.1080/10790268.2008.11760710"
"24752594","Assessment of quadriceps muscle inactivation with a new electrical stimulation paradigm","Wellauer V, Morf C, Minetto MA, Place N, Maffiuletti NA.","Muscle Nerve. 2015 Jan;51(1):117-24. doi: 10.1002/mus.24266. Epub 2014 Nov 19.","Wellauer V","Muscle Nerve","2015","2014/04/23","","","10.1002/mus.24266"
"30658047","Maintaining Lumbar Spine Stability: A Study of the Specific and Combined Effects of Abdominal Activation and Lumbosacral Orthosis on Lumbar Intrinsic Stiffness","Larivière C, Boucher JA, Mecheri H, Ludvig D.","J Orthop Sports Phys Ther. 2019 Apr;49(4):262-271. doi: 10.2519/jospt.2019.8565. Epub 2019 Jan 18.","Larivière C","J Orthop Sports Phys Ther","2019","2019/01/19","","","10.2519/jospt.2019.8565"
"27113961","Changes in tibialis anterior corticospinal properties after acute prolonged muscle vibration","Farabet A, Souron R, Millet GY, Lapole T.","Eur J Appl Physiol. 2016 Jun;116(6):1197-205. doi: 10.1007/s00421-016-3378-y. Epub 2016 Apr 25.","Farabet A","Eur J Appl Physiol","2016","2016/04/27","","","10.1007/s00421-016-3378-y"
"30889992","The effects of Ramadan intermittent fasting on the underlying mechanisms of force production capacity during maximal isometric voluntary contraction","Gueldich H, Zghal F, Borji R, Chtourou H, Sahli S, Rebai H.","Chronobiol Int. 2019 May;36(5):698-708. doi: 10.1080/07420528.2019.1592183. Epub 2019 Mar 20.","Gueldich H","Chronobiol Int","2019","2019/03/21","","","10.1080/07420528.2019.1592183"
"27199764","Greater Strength Gains after Training with Accentuated Eccentric than Traditional Isoinertial Loads in Already Strength-Trained Men","Walker S, Blazevich AJ, Haff GG, Tufano JJ, Newton RU, Häkkinen K.","Front Physiol. 2016 Apr 27;7:149. doi: 10.3389/fphys.2016.00149. eCollection 2016.","Walker S","Front Physiol","2016","2016/05/21","PMC4847223","","10.3389/fphys.2016.00149"
"29172028","Neural adaptations in quadriceps muscle after 4 weeks of local vibration training in young versus older subjects","Souron R, Besson T, Lapole T, Millet GY.","Appl Physiol Nutr Metab. 2018 May;43(5):427-436. doi: 10.1139/apnm-2017-0612. Epub 2017 Nov 24.","Souron R","Appl Physiol Nutr Metab","2018","2017/11/25","","","10.1139/apnm-2017-0612"
"34098176","Neuromuscular, biomechanical, and energetic adjustments following repeated bouts of downhill running","Khassetarash A, Vernillo G, Krüger RL, Edwards WB, Millet GY.","J Sport Health Sci. 2021 Jun 21:S2095-2546(21)00066-1. doi: 10.1016/j.jshs.2021.06.001. Online ahead of print.","Khassetarash A","J Sport Health Sci","2021","2021/06/07","","","10.1016/j.jshs.2021.06.001"
"26633736","Unilateral elbow flexion fatigue modulates corticospinal responsiveness in non-fatigued contralateral biceps brachii","Aboodarda SJ, Šambaher N, Behm DG.","Scand J Med Sci Sports. 2016 Nov;26(11):1301-1312. doi: 10.1111/sms.12596. Epub 2015 Dec 3.","Aboodarda SJ","Scand J Med Sci Sports","2016","2015/12/04","","","10.1111/sms.12596"
"24797162","Electrically induced torque decrease reflects more than muscle fatigue","Papaiordanidou M, Stevenot JD, Mustacchi V, Vanoncini M, Martin A.","Muscle Nerve. 2014 Oct;50(4):604-7. doi: 10.1002/mus.24276. Epub 2014 Aug 30.","Papaiordanidou M","Muscle Nerve","2014","2014/05/07","","","10.1002/mus.24276"
"16946022","Residual force enhancement after lengthening is present during submaximal plantar flexion and dorsiflexion actions in humans","Pinniger GJ, Cresswell AG.","J Appl Physiol (1985). 2007 Jan;102(1):18-25. doi: 10.1152/japplphysiol.00565.2006. Epub 2006 Aug 31.","Pinniger GJ","J Appl Physiol (1985)","2007","2006/09/02","","","10.1152/japplphysiol.00565.2006"
"17463302","Sustained contraction at very low forces produces prominent supraspinal fatigue in human elbow flexor muscles","Smith JL, Martin PG, Gandevia SC, Taylor JL.","J Appl Physiol (1985). 2007 Aug;103(2):560-8. doi: 10.1152/japplphysiol.00220.2007. Epub 2007 Apr 26.","Smith JL","J Appl Physiol (1985)","2007","2007/04/28","","","10.1152/japplphysiol.00220.2007"
"17697026","Central fatigue of the first dorsal interosseous muscle during low-force and high-force sustained submaximal contractions","Eichelberger TD, Bilodeau M.","Clin Physiol Funct Imaging. 2007 Sep;27(5):298-304. doi: 10.1111/j.1475-097X.2007.00751.x.","Eichelberger TD","Clin Physiol Funct Imaging","2007","2007/08/19","","","10.1111/j.1475-097X.2007.00751.x"
"21589667","Contralateral effects of disinhibitory tens on quadriceps function in people with knee osteoarthritis following unilateral treatment","Pietrosimone BG, Saliba SA, Hart JM, Hertel J, Ingersoll CD.","N Am J Sports Phys Ther. 2010 Sep;5(3):111-21.","Pietrosimone BG","N Am J Sports Phys Ther","2010","2011/05/19","PMC2971644","",""
"15325107","Central fatigue and transcranial magnetic stimulation: effect of caffeine and the confound of peripheral transmission failure","Kalmar JM, Cafarelli E.","J Neurosci Methods. 2004 Sep 30;138(1-2):15-26. doi: 10.1016/j.jneumeth.2004.03.006.","Kalmar JM","J Neurosci Methods","2004","2004/08/25","","","10.1016/j.jneumeth.2004.03.006"
"12712353","Quadriceps voluntary activation at different joint angles measured by two stimulation techniques","Newman SA, Jones G, Newham DJ.","Eur J Appl Physiol. 2003 Jun;89(5):496-9. doi: 10.1007/s00421-003-0836-0. Epub 2003 Apr 24.","Newman SA","Eur J Appl Physiol","2003","2003/04/25","","","10.1007/s00421-003-0836-0"
"19234587","Prefrontal cortex oxygenation is preserved and does not contribute to impaired neuromuscular activation during passive hyperthermia","Morrison SA, Sleivert GG, Neary JP, Cheung SS.","Appl Physiol Nutr Metab. 2009 Feb;34(1):66-74. doi: 10.1139/H08-139.","Morrison SA","Appl Physiol Nutr Metab","2009","2009/02/24","","","10.1139/H08-139"
"20534832","Impaired conscious recognition of negative facial expressions in patients with locked-in syndrome","Pistoia F, Conson M, Trojano L, Grossi D, Ponari M, Colonnese C, Pistoia ML, Carducci F, Sarà M.","J Neurosci. 2010 Jun 9;30(23):7838-44. doi: 10.1523/JNEUROSCI.6300-09.2010.","Pistoia F","J Neurosci","2010","2010/06/11","PMC6632697","","10.1523/JNEUROSCI.6300-09.2010"
"15075302","Voluntary activation level and muscle fiber recruitment of human quadriceps during lengthening contractions","Beltman JG, Sargeant AJ, van Mechelen W, de Haan A.","J Appl Physiol (1985). 2004 Aug;97(2):619-26. doi: 10.1152/japplphysiol.01202.2003. Epub 2004 Apr 9.","Beltman JG","J Appl Physiol (1985)","2004","2004/04/13","","","10.1152/japplphysiol.01202.2003"
"33324326","Impact of Lower Limb Active Movement Training in Individuals With Spastic Type Cerebral Palsy on Neuromuscular Control Outcomes: A Systematic Review","O'Brien SM, Lichtwark GA, Carroll TJ, Barber LA.","Front Neurol. 2020 Nov 26;11:581892. doi: 10.3389/fneur.2020.581892. eCollection 2020.","O'Brien SM","Front Neurol","2020","2020/12/16","PMC7726235","","10.3389/fneur.2020.581892"
"16523507","Influence of time of day on tendon compliance and estimations of voluntary activation levels","Pearson SJ, Onambele GN.","Muscle Nerve. 2006 Jun;33(6):792-800. doi: 10.1002/mus.20529.","Pearson SJ","Muscle Nerve","2006","2006/03/09","","","10.1002/mus.20529"
"16455811","Calf muscle-tendon properties and postural balance in old age","Onambele GL, Narici MV, Maganaris CN.","J Appl Physiol (1985). 2006 Jun;100(6):2048-56. doi: 10.1152/japplphysiol.01442.2005. Epub 2006 Feb 2.","Onambele GL","J Appl Physiol (1985)","2006","2006/02/04","","","10.1152/japplphysiol.01442.2005"
"12501950","Electrically induced and voluntary activation of physiologic muscle pump: a comparison between spinal cord-injured and able-bodied individuals","Faghri PD, Yount J.","Clin Rehabil. 2002 Dec;16(8):878-85. doi: 10.1191/0269215502cr570oa.","Faghri PD","Clin Rehabil","2002","2002/12/28","","","10.1191/0269215502cr570oa"
"20966196","Effects of cross-education on the muscle after a period of unilateral limb immobilization using a shoulder sling and swathe","Magnus CR, Barss TS, Lanovaz JL, Farthing JP.","J Appl Physiol (1985). 2010 Dec;109(6):1887-94. doi: 10.1152/japplphysiol.00597.2010. Epub 2010 Oct 21.","Magnus CR","J Appl Physiol (1985)","2010","2010/10/23","","","10.1152/japplphysiol.00597.2010"
"30128852","Effects of endurance cycling training on neuromuscular fatigue in healthy active men. Part II: Corticospinal excitability and voluntary activation","Aboodarda SJ, Mira J, Floreani M, Jaswal R, Moon SJ, Amery K, Rupp T, Millet GY.","Eur J Appl Physiol. 2018 Nov;118(11):2295-2305. doi: 10.1007/s00421-018-3951-7. Epub 2018 Aug 20.","Aboodarda SJ","Eur J Appl Physiol","2018","2018/08/22","","","10.1007/s00421-018-3951-7"
"14656666","Strength and voluntary activation of the quadriceps femoris muscle at different severities of osteoarthritic knee joint damage","Pap G, Machner A, Awiszus F.","J Orthop Res. 2004 Jan;22(1):96-103. doi: 10.1016/S0736-0266(03)00128-1.","Pap G","J Orthop Res","2004","2003/12/06","","","10.1016/S0736-0266(03)00128-1"
